target,box,box_display,month,rows
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-01,0
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-02,0
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-03,0
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-04,0
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-05,0
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-06,0
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-07,0
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-08,0
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-09,83
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-10,202
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-11,180
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2024-12,85
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-01,15
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-02,17
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-03,9
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-04,38
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-05,174
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-06,173
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-07,180
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-08,200
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-09,211
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-10,221
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-11,149
d26,gulf_of_mexico,Gulf of Mexico & NW Caribbean,2025-12,88
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-01,0
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-02,0
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-03,0
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-04,0
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-05,0
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-06,0
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-07,0
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-08,0
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-09,55
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-10,163
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-11,155
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2024-12,159
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-01,141
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-02,91
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-03,90
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-04,86
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-05,111
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-06,107
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-07,129
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-08,173
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-09,147
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-10,162
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-11,165
d26,atlantic_mdr,Atlantic hurricane MDR / E Caribbean,2025-12,153
d26,arabian_sea,Arabian Sea,2024-01,0
d26,arabian_sea,Arabian Sea,2024-02,0
d26,arabian_sea,Arabian Sea,2024-03,0
d26,arabian_sea,Arabian Sea,2024-04,0
d26,arabian_sea,Arabian Sea,2024-05,0
d26,arabian_sea,Arabian Sea,2024-06,0
d26,arabian_sea,Arabian Sea,2024-07,0
d26,arabian_sea,Arabian Sea,2024-08,0
d26,arabian_sea,Arabian Sea,2024-09,59
d26,arabian_sea,Arabian Sea,2024-10,159
d26,arabian_sea,Arabian Sea,2024-11,161
d26,arabian_sea,Arabian Sea,2024-12,148
d26,arabian_sea,Arabian Sea,2025-01,103
d26,arabian_sea,Arabian Sea,2025-02,104
d26,arabian_sea,Arabian Sea,2025-03,137
d26,arabian_sea,Arabian Sea,2025-04,154
d26,arabian_sea,Arabian Sea,2025-05,152
d26,arabian_sea,Arabian Sea,2025-06,146
d26,arabian_sea,Arabian Sea,2025-07,140
d26,arabian_sea,Arabian Sea,2025-08,138
d26,arabian_sea,Arabian Sea,2025-09,132
d26,arabian_sea,Arabian Sea,2025-10,151
d26,arabian_sea,Arabian Sea,2025-11,142
d26,arabian_sea,Arabian Sea,2025-12,136
d26,bay_of_bengal,Bay of Bengal,2024-01,0
d26,bay_of_bengal,Bay of Bengal,2024-02,0
d26,bay_of_bengal,Bay of Bengal,2024-03,0
d26,bay_of_bengal,Bay of Bengal,2024-04,0
d26,bay_of_bengal,Bay of Bengal,2024-05,0
d26,bay_of_bengal,Bay of Bengal,2024-06,0
d26,bay_of_bengal,Bay of Bengal,2024-07,0
d26,bay_of_bengal,Bay of Bengal,2024-08,0
d26,bay_of_bengal,Bay of Bengal,2024-09,36
d26,bay_of_bengal,Bay of Bengal,2024-10,90
d26,bay_of_bengal,Bay of Bengal,2024-11,93
d26,bay_of_bengal,Bay of Bengal,2024-12,99
d26,bay_of_bengal,Bay of Bengal,2025-01,130
d26,bay_of_bengal,Bay of Bengal,2025-02,118
d26,bay_of_bengal,Bay of Bengal,2025-03,143
d26,bay_of_bengal,Bay of Bengal,2025-04,191
d26,bay_of_bengal,Bay of Bengal,2025-05,163
d26,bay_of_bengal,Bay of Bengal,2025-06,151
d26,bay_of_bengal,Bay of Bengal,2025-07,149
d26,bay_of_bengal,Bay of Bengal,2025-08,146
d26,bay_of_bengal,Bay of Bengal,2025-09,153
d26,bay_of_bengal,Bay of Bengal,2025-10,176
