source_file,platform,cycle,lat,lon,obs_time,n_levels,max_depth_dbar,min_depth_dbar,surface_T_c,surface_S_psu
aoml/4902349/profiles/D4902349_301.nc,4902349,301.0,22.62395,-95.09589,2024-10-05T23:29:01Z,1009,2007.8,1.2,29.257,36.591
aoml/4902351/profiles/D4902351_305.nc,4902351,305.0,21.29668,-96.61189,2024-10-03T09:09:40Z,678,1346.8,1.12,30.048,36.506
aoml/4902351/profiles/D4902351_306.nc,4902351,306.0,20.02366,-96.0943,2024-10-13T08:44:46Z,729,1447.1,1.12,28.885,36.223
aoml/4902352/profiles/D4902352_305.nc,4902352,305.0,24.04542,-96.67351,2024-10-06T14:23:56Z,631,1252.9,1.08,30.012,36.628
aoml/4903232/profiles/D4903232_395.nc,4903232,395.0,22.86893,-96.94511,2024-10-02T10:10:43Z,808,1605.6,1.04,30.324,36.562
aoml/4903232/profiles/D4903232_396.nc,4903232,396.0,22.82894,-97.04055,2024-10-07T09:41:57Z,807,1603.3,1.12,29.833,36.46
aoml/4903232/profiles/D4903232_397.nc,4903232,397.0,22.7075,-97.03484,2024-10-12T09:08:01Z,774,1550.1,1.08,29.317,36.285
aoml/4903240/profiles/D4903240_391.nc,4903240,391.0,22.2059,-96.03742,2024-09-28T05:36:26Z,1008,2005.6,1.0,30.859,36.547
aoml/4903240/profiles/D4903240_392.nc,4903240,392.0,22.18369,-96.03261,2024-10-03T05:38:01Z,1008,2005.8,1.08,30.244,36.579
aoml/4903240/profiles/D4903240_393.nc,4903240,393.0,22.24344,-95.98383,2024-10-08T05:35:04Z,1008,2005.4,1.08,28.773,36.46
aoml/4903240/profiles/D4903240_394.nc,4903240,394.0,22.2585,-95.91797,2024-10-13T05:35:09Z,1009,2007.0,1.04,28.654,36.504
aoml/4903248/profiles/D4903248_375.nc,4903248,375.0,25.83638,-94.33678,2024-09-29T23:42:39Z,1013,2013.0,0.48,29.162,36.274
aoml/4903248/profiles/D4903248_376.nc,4903248,376.0,25.69511,-94.03874,2024-10-05T03:24:26Z,1011,2012.0,1.04,29.163,35.345
aoml/4903248/profiles/D4903248_377.nc,4903248,377.0,25.68682,-94.26937,2024-10-10T07:10:27Z,1012,2013.9,0.96,28.102,36.245
aoml/4903249/profiles/D4903249_375.nc,4903249,375.0,25.83086,-88.72898,2024-09-30T19:49:12Z,1009,2007.1,1.0,29.818,36.392
aoml/4903249/profiles/D4903249_376.nc,4903249,376.0,25.57806,-88.89565,2024-10-05T19:36:45Z,1009,2007.3,1.0,29.828,35.963
aoml/4903249/profiles/D4903249_377.nc,4903249,377.0,25.88147,-88.74621,2024-10-10T19:21:48Z,1008,2005.2,1.08,28.882,36.25
aoml/4903254/profiles/D4903254_378.nc,4903254,378.0,28.49542,-87.43534,2024-09-30T00:35:57Z,852,1693.8,1.04,28.733,36.427
aoml/4903254/profiles/D4903254_379.nc,4903254,379.0,28.75684,-87.45932,2024-10-04T23:12:43Z,757,1503.2,1.12,28.651,36.034
aoml/4903254/profiles/D4903254_380.nc,4903254,380.0,28.89131,-87.74654,2024-10-09T23:01:46Z,971,1931.9,1.12,27.847,36.307
aoml/4903254/profiles/D4903254_381.nc,4903254,381.0,28.79594,-87.93226,2024-10-14T23:12:17Z,1004,1997.2,1.04,27.481,36.174
aoml/4903279/profiles/D4903279_314.nc,4903279,314.0,26.67024,-87.05284,2024-10-01T11:15:06Z,1010,2010.7,0.96,30.169,36.232
aoml/4903279/profiles/D4903279_315.nc,4903279,315.0,27.09573,-86.23151,2024-10-06T10:20:05Z,1008,2006.4,1.12,29.886,36.142
aoml/4903279/profiles/D4903279_316.nc,4903279,316.0,27.08816,-87.23808,2024-10-11T09:28:15Z,1010,2010.6,0.92,28.851,36.323
aoml/4903353/profiles/D4903353_262.nc,4903353,262.0,28.2361,-88.95306,2024-10-02T03:40:02Z,633,1255.1,1.04,28.78,35.345
aoml/4903353/profiles/D4903353_263.nc,4903353,263.0,28.19249,-88.98731,2024-10-07T01:58:47Z,689,1367.0,1.08,28.654,34.925
aoml/4903353/profiles/D4903353_264.nc,4903353,264.0,28.1858,-89.02814,2024-10-12T00:13:12Z,645,1279.0,1.24,28.152,35.363
