feature,family,units,valid_rows,valid_pct,first_valid_date,last_valid_date,valid_dates,p5,median,p95,in_best_recipe
argo_tchp_kj_per_cm2,targets_and_raw_model,kJ/cm²,96595,29.9,20240131,20251231,701,2.289659298158505,47.52571443459345,159.9705024426041,
argo_d26_m,targets_and_raw_model,m,96595,29.9,20240131,20251231,701,18.378144163696625,70.97648589043095,141.89479282797217,
model_interp_tchp_kj_per_cm2,targets_and_raw_model,kJ/cm²,92291,28.6,20240131,20251231,701,3.4287277460098267,43.30158233642578,133.2803192138672,yes
model_interp_d26_m,targets_and_raw_model,m,92291,28.6,20240131,20251231,701,20.936946868896484,64.9067611694336,122.30146789550781,yes
delta_tchp_kj_per_cm2,targets_and_raw_model,kJ/cm²,90423,28.0,20240131,20251231,701,-16.6230298996857,7.7968946579494,47.38330152926149,
delta_d26_m,targets_and_raw_model,m,90423,28.0,20240131,20251231,701,-15.983063448120987,6.6891382921021005,40.81309552547782,
lat,base,°,322616,100.0,20240131,20251231,701,-63.034613394722,0.08704999999999999,56.84270668029785,yes
lon,base,°,322616,100.0,20240131,20251231,701,-168.075325,-22.165028416666665,165.11182208333332,yes
nearest_rtofs_grid_distance_km,base,km,322616,100.0,20240131,20251231,701,0.7829837319611348,2.65885486782709,4.697666030465457,yes
model_surface_temp_c,global_physics,°C,321855,99.8,20240131,20251231,701,-0.8101078033447265,20.546079635620117,29.809419631958008,
model_ssh_m,global_physics,m,321855,99.8,20240131,20251231,701,-1.5964580655097962,0.15575307607650757,0.875511199235916,yes
model_mixed_layer_thickness_m,global_physics,m,321855,99.8,20240131,20251231,701,6.25007438659668,43.70163345336914,138.72032775878904,yes
model_surface_boundary_layer_thickness_m,global_physics,m,321855,99.8,20240131,20251231,701,1.0098068714141846,20.093034744262695,105.00823974609375,yes
model_temp_excess_26c,global_physics,°C,321855,99.8,20240131,20251231,701,-26.810107803344728,-5.453920364379883,3.809419631958008,yes
model_warm_surface_flag,global_physics,–,322616,100.0,20240131,20251231,701,0.0,0.0,1.0,
d26_minus_mlt_m,global_physics,m,92291,28.6,20240131,20251231,701,0.9702882766723633,29.492477416992188,98.4729232788086,yes
d26_minus_sblt_m,global_physics,m,92291,28.6,20240131,20251231,701,7.602479934692383,50.05634689331055,116.25506973266602,
d26_to_mlt_ratio,global_physics,–,92291,28.6,20240131,20251231,701,1.0300710797309875,1.9846282005310059,19.16900062561035,
d26_to_sblt_ratio,global_physics,–,92291,28.6,20240131,20251231,701,1.2799293994903564,11.082972526550293,103.28599548339844,yes
warm_layer_thickness_positive_m,global_physics,m,92291,28.6,20240131,20251231,701,0.9702882766723633,29.492477416992188,98.4729232788086,
model_ssh_x_abs_lat,global_physics,–,321855,99.8,20240131,20251231,701,-102.31225814819335,2.027040719985962,20.847773361206052,yes
model_mlt_x_abs_lat,global_physics,–,321855,99.8,20240131,20251231,701,44.201614761352545,1174.0628662109375,7089.280029296874,yes
model_temp_excess_x_abs_lat,global_physics,–,321855,99.8,20240131,20251231,701,-1762.0181030273436,-166.33963012695312,55.6533203125,yes
model_steric_0_1000_m,profile_physics,m,35423,11.0,20240131,20251225,77,0.3093123137950897,1.4057587385177612,2.0703435420989993,
model_steric_0_2000_m,profile_physics,m,33459,10.4,20240131,20251225,77,0.5485362708568573,2.0598104000091553,2.7270313739776606,
model_steric_1000_ref2000_m,profile_physics,m,33459,10.4,20240131,20251225,77,0.2272288516163826,0.6178047060966492,0.7437384843826294,yes
model_n2_mean_upper200_s2,profile_physics,s⁻²,36659,11.4,20240131,20251225,77,5.383083134802291e-06,6.665349792456254e-05,0.0002349766728002578,
model_n2_max_upper200_s2,profile_physics,s⁻²,36659,11.4,20240131,20251225,77,2.8789644966309427e-05,0.00024226066307164729,0.0009252551652025431,yes
model_n2_mean_to_d26_s2,profile_physics,s⁻²,10674,3.3,20240131,20251225,77,1.889951090561226e-05,0.00010748238491942175,0.00029937404906377196,yes
model_n2_max_to_d26_s2,profile_physics,s⁻²,10674,3.3,20240131,20251225,77,8.495211659464985e-05,0.00036061074933968484,0.0010553343454375863,
model_mld_sigma_m,profile_physics,m,36613,11.3,20240131,20251225,77,8.494154167175294,51.186885833740234,179.51738281250002,
model_ild_m,profile_physics,m,34462,10.7,20240131,20251225,77,10.029253816604616,51.90562438964844,281.8347198486326,
model_barrier_layer_thickness_m,profile_physics,m,34447,10.7,20240131,20251225,77,0.0,1.0397330522537231,49.08044548034625,
model_n2_max_near_mld_s2,profile_physics,s⁻²,35572,11.0,20240131,20251225,77,2.6493492168810916e-05,0.00018661373906070367,0.0008717490331036967,
model_n2_max_above_mld_s2,profile_physics,s⁻²,30451,9.4,20240131,20251225,77,1.038132495523314e-06,1.6475532902404666e-05,0.00021361470862757415,
model_ild_dt02_m,profile_physics,m,34287,10.6,20240131,20251225,76,4.5549824237823495,39.56831741333008,176.56042785644425,
model_blt_dt02_m,profile_physics,m,34270,10.6,20240131,20251225,76,0.0,0.0,14.117465019226051,
model_tchp_local_mean_halfdeg,neighborhood,–,97211,30.1,20240131,20251231,701,2.2483108043670654,40.68741226196289,130.5544891357422,
model_tchp_local_std_halfdeg,neighborhood,–,97211,30.1,20240131,20251231,701,1.1472280621528625,4.395986080169678,12.840107917785645,
model_tchp_local_mean_1deg,neighborhood,–,98517,30.5,20240131,20251231,701,2.8748372077941897,39.99814224243164,128.3685302734375,
model_tchp_local_std_1deg,neighborhood,–,98517,30.5,20240131,20251231,701,1.8265611648559572,6.745527267456055,18.133052825927734,yes
